prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
rf_bal_acc_all1718 series_01 part1,0.581,0.896,0.738,0.667,0.581,18,13,5,43
rf_bal_acc_all1718 series_01 part2,0.548,0.875,0.712,0.63,0.548,17,14,6,42
rf_bal_acc_all1718 series_01 part3,0.742,0.771,0.756,0.708,0.742,23,8,11,37
rf_bal_acc_all1718 series_01 part4,0.645,0.894,0.769,0.714,0.645,20,11,5,42
rf_bal_acc_all1718 series_01 part5,0.733,0.708,0.721,0.667,0.733,22,8,14,34
rf_bal_acc_all1718 series_01 MEAN,0.65,0.829,0.739,0.677,0.65,20.0,10.8,8.2,39.6
rf_bal_acc_all1718 series_02 part1,0.742,0.854,0.798,0.754,0.742,23,8,7,41
rf_bal_acc_all1718 series_02 part2,0.581,0.708,0.644,0.571,0.581,18,13,14,34
rf_bal_acc_all1718 series_02 part3,0.516,0.833,0.675,0.582,0.516,16,15,8,40
rf_bal_acc_all1718 series_02 part4,0.667,0.917,0.792,0.741,0.667,20,10,4,44
rf_bal_acc_all1718 series_02 part5,0.548,0.894,0.721,0.642,0.548,17,14,5,42
rf_bal_acc_all1718 series_02 MEAN,0.611,0.841,0.726,0.658,0.611,18.8,12.0,7.6,40.2
rf_bal_acc_all1718 series_03 part1,0.71,0.75,0.73,0.677,0.71,22,9,12,36
rf_bal_acc_all1718 series_03 part2,0.548,0.896,0.722,0.642,0.548,17,14,5,43
rf_bal_acc_all1718 series_03 part3,0.581,0.667,0.624,0.554,0.581,18,13,16,32
rf_bal_acc_all1718 series_03 part4,0.774,0.894,0.834,0.8,0.774,24,7,5,42
rf_bal_acc_all1718 series_03 part5,0.667,0.833,0.75,0.69,0.667,20,10,8,40
rf_bal_acc_all1718 series_03 MEAN,0.656,0.808,0.732,0.672,0.656,20.2,10.6,9.2,38.6
rf_bal_acc_all1718 series_04 part1,0.645,0.854,0.75,0.69,0.645,20,11,7,41
rf_bal_acc_all1718 series_04 part2,0.677,0.75,0.714,0.656,0.677,21,10,12,36
rf_bal_acc_all1718 series_04 part3,0.581,0.854,0.717,0.643,0.581,18,13,7,41
rf_bal_acc_all1718 series_04 part4,0.533,0.875,0.704,0.615,0.533,16,14,6,42
rf_bal_acc_all1718 series_04 part5,0.516,0.723,0.62,0.533,0.516,16,15,13,34
rf_bal_acc_all1718 series_04 MEAN,0.591,0.811,0.701,0.627,0.591,18.2,12.6,9.0,38.8
rf_bal_acc_all1718 series_05 part1,0.484,0.875,0.679,0.577,0.484,15,16,6,42
rf_bal_acc_all1718 series_05 part2,0.839,0.812,0.826,0.788,0.839,26,5,9,39
rf_bal_acc_all1718 series_05 part3,0.677,0.792,0.735,0.677,0.677,21,10,10,38
rf_bal_acc_all1718 series_05 part4,0.8,0.812,0.806,0.762,0.8,24,6,9,39
rf_bal_acc_all1718 series_05 part5,0.677,0.894,0.786,0.737,0.677,21,10,5,42
rf_bal_acc_all1718 series_05 MEAN,0.695,0.837,0.766,0.708,0.695,21.4,9.4,7.8,40.0
rf_bal_acc_all1718 series_06 part1,0.548,0.917,0.733,0.654,0.548,17,14,4,44
rf_bal_acc_all1718 series_06 part2,0.774,0.812,0.793,0.75,0.774,24,7,9,39
rf_bal_acc_all1718 series_06 part3,0.613,0.812,0.713,0.644,0.613,19,12,9,39
rf_bal_acc_all1718 series_06 part4,0.633,0.75,0.692,0.623,0.633,19,11,12,36
rf_bal_acc_all1718 series_06 part5,0.645,0.83,0.737,0.678,0.645,20,11,8,39
rf_bal_acc_all1718 series_06 MEAN,0.643,0.824,0.734,0.67,0.643,19.8,11.0,8.4,39.4
