prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_gd_bal_acc_all1617 series_10 part4,0.8,0.706,0.753,0.75,0.8,24,6,10,24
we_extractor_gd_bal_acc_all1617 series_10 part5,0.7,0.735,0.718,0.7,0.7,21,9,9,25
we_extractor_gd_bal_acc_all1617 series_10 MEAN,0.748,0.743,0.745,0.733,0.748,22.6,7.6,8.8,25.4
we_extractor_gd_bal_acc_all1617 series_11 part1,0.8,0.886,0.843,0.828,0.8,24,6,4,31
we_extractor_gd_bal_acc_all1617 series_11 part2,0.742,0.676,0.709,0.708,0.742,23,8,11,23
we_extractor_gd_bal_acc_all1617 series_11 part3,0.6,0.882,0.741,0.692,0.6,18,12,4,30
we_extractor_gd_bal_acc_all1617 series_11 part4,0.867,0.824,0.845,0.839,0.867,26,4,6,28
we_extractor_gd_bal_acc_all1617 series_11 part5,0.933,0.706,0.82,0.824,0.933,28,2,10,24
we_extractor_gd_bal_acc_all1617 series_11 MEAN,0.788,0.795,0.792,0.778,0.788,23.8,6.4,7.0,27.2
we_extractor_gd_bal_acc_all1617 series_12 part1,0.867,0.771,0.819,0.812,0.867,26,4,8,27
we_extractor_gd_bal_acc_all1617 series_12 part2,0.742,0.765,0.753,0.742,0.742,23,8,8,26
we_extractor_gd_bal_acc_all1617 series_12 part3,0.8,0.824,0.812,0.8,0.8,24,6,6,28
we_extractor_gd_bal_acc_all1617 series_12 part4,0.8,0.853,0.826,0.814,0.8,24,6,5,29
we_extractor_gd_bal_acc_all1617 series_12 part5,0.767,0.882,0.825,0.807,0.767,23,7,4,30
we_extractor_gd_bal_acc_all1617 series_12 MEAN,0.795,0.819,0.807,0.795,0.795,24.0,6.2,6.2,28.0
we_extractor_gd_bal_acc_all1718 series_01 part1,0.696,0.704,0.7,0.681,0.696,16,7,8,19
we_extractor_gd_bal_acc_all1718 series_01 part2,0.545,0.786,0.666,0.6,0.545,12,10,6,22
we_extractor_gd_bal_acc_all1718 series_01 part3,0.591,0.571,0.581,0.553,0.591,13,9,12,16
we_extractor_gd_bal_acc_all1718 series_01 part4,0.455,0.857,0.656,0.556,0.455,10,12,4,24
we_extractor_gd_bal_acc_all1718 series_01 part5,0.455,0.741,0.598,0.513,0.455,10,12,7,20
we_extractor_gd_bal_acc_all1718 series_01 MEAN,0.548,0.732,0.64,0.58,0.548,12.2,10.0,7.4,20.2
we_extractor_gd_bal_acc_all1718 series_02 part1,0.5,0.643,0.571,0.512,0.5,11,11,10,18
we_extractor_gd_bal_acc_all1718 series_02 part2,0.409,0.643,0.526,0.439,0.409,9,13,10,18
we_extractor_gd_bal_acc_all1718 series_02 part3,0.773,0.607,0.69,0.68,0.773,17,5,11,17
we_extractor_gd_bal_acc_all1718 series_02 part4,0.522,0.704,0.613,0.558,0.522,12,11,8,19
we_extractor_gd_bal_acc_all1718 series_02 part5,0.545,0.667,0.606,0.558,0.545,12,10,9,18
we_extractor_gd_bal_acc_all1718 series_02 MEAN,0.55,0.653,0.601,0.549,0.55,12.2,10.0,9.6,18.0
we_extractor_gd_bal_acc_all1718 series_03 part1,0.5,0.821,0.661,0.579,0.5,11,11,5,23
we_extractor_gd_bal_acc_all1718 series_03 part2,0.682,0.607,0.644,0.625,0.682,15,7,11,17
we_extractor_gd_bal_acc_all1718 series_03 part3,0.591,0.643,0.617,0.578,0.591,13,9,10,18
we_extractor_gd_bal_acc_all1718 series_03 part4,0.609,0.741,0.675,0.636,0.609,14,9,7,20
we_extractor_gd_bal_acc_all1718 series_03 part5,0.409,0.667,0.538,0.45,0.409,9,13,9,18
we_extractor_gd_bal_acc_all1718 series_03 MEAN,0.558,0.696,0.627,0.574,0.558,12.4,9.8,8.4,19.2
we_extractor_gd_bal_acc_all1718 series_04 part1,0.682,0.643,0.662,0.638,0.682,15,7,10,18
we_extractor_gd_bal_acc_all1718 series_04 part2,0.5,0.643,0.571,0.512,0.5,11,11,10,18
we_extractor_gd_bal_acc_all1718 series_04 part3,0.455,0.607,0.531,0.465,0.455,10,12,11,17
we_extractor_gd_bal_acc_all1718 series_04 part4,0.435,0.778,0.606,0.513,0.435,10,13,6,21
we_extractor_gd_bal_acc_all1718 series_04 part5,0.5,0.667,0.583,0.524,0.5,11,11,9,18
we_extractor_gd_bal_acc_all1718 series_04 MEAN,0.514,0.667,0.591,0.53,0.514,11.4,10.8,9.2,18.4
we_extractor_gd_bal_acc_all1718 series_05 part1,0.591,0.75,0.67,0.619,0.591,13,9,7,21
we_extractor_gd_bal_acc_all1718 series_05 part2,0.545,0.679,0.612,0.558,0.545,12,10,9,19
we_extractor_gd_bal_acc_all1718 series_05 part3,0.455,0.75,0.602,0.513,0.455,10,12,7,21
we_extractor_gd_bal_acc_all1718 series_05 part4,0.609,0.704,0.656,0.622,0.609,14,9,8,19
we_extractor_gd_bal_acc_all1718 series_05 part5,0.727,0.667,0.697,0.681,0.727,16,6,9,18
we_extractor_gd_bal_acc_all1718 series_05 MEAN,0.585,0.71,0.648,0.599,0.585,13.0,9.2,8.0,19.6
we_extractor_gd_bal_acc_all1718 series_06 part1,0.864,0.857,0.86,0.844,0.864,19,3,4,24
we_extractor_gd_bal_acc_all1718 series_06 part2,0.682,0.714,0.698,0.667,0.682,15,7,8,20
we_extractor_gd_bal_acc_all1718 series_06 part3,0.818,0.786,0.802,0.783,0.818,18,4,6,22
we_extractor_gd_bal_acc_all1718 series_06 part4,0.652,0.778,0.715,0.682,0.652,15,8,6,21
we_extractor_gd_bal_acc_all1718 series_06 part5,0.727,0.667,0.697,0.681,0.727,16,6,9,18
we_extractor_gd_bal_acc_all1718 series_06 MEAN,0.749,0.76,0.754,0.731,0.749,16.6,5.6,6.6,21.0
we_extractor_gd_bal_acc_all1718 series_07 part1,0.826,0.778,0.802,0.792,0.826,19,4,6,21
we_extractor_gd_bal_acc_all1718 series_07 part2,0.727,0.857,0.792,0.762,0.727,16,6,4,24
we_extractor_gd_bal_acc_all1718 series_07 part3,0.636,0.821,0.729,0.683,0.636,14,8,5,23
we_extractor_gd_bal_acc_all1718 series_07 part4,0.818,0.821,0.82,0.8,0.818,18,4,5,23
we_extractor_gd_bal_acc_all1718 series_07 part5,0.591,0.741,0.666,0.619,0.591,13,9,7,20
we_extractor_gd_bal_acc_all1718 series_07 MEAN,0.72,0.804,0.762,0.731,0.72,16.0,6.2,5.4,22.2
we_extractor_gd_bal_acc_all1718 series_08 part1,0.5,0.857,0.679,0.595,0.5,11,11,4,24
we_extractor_gd_bal_acc_all1718 series_08 part2,0.682,0.679,0.68,0.652,0.682,15,7,9,19
we_extractor_gd_bal_acc_all1718 series_08 part3,0.818,0.821,0.82,0.8,0.818,18,4,5,23
we_extractor_gd_bal_acc_all1718 series_08 part4,0.652,0.778,0.715,0.682,0.652,15,8,6,21
we_extractor_gd_bal_acc_all1718 series_08 part5,0.773,0.778,0.775,0.756,0.773,17,5,6,21
we_extractor_gd_bal_acc_all1718 series_08 MEAN,0.685,0.783,0.734,0.697,0.685,15.2,7.0,6.0,21.6
we_extractor_gd_bal_acc_all1718 series_09 part1,0.864,0.857,0.86,0.844,0.864,19,3,4,24
we_extractor_gd_bal_acc_all1718 series_09 part2,0.727,0.786,0.756,0.727,0.727,16,6,6,22
we_extractor_gd_bal_acc_all1718 series_09 part3,0.591,0.75,0.67,0.619,0.591,13,9,7,21
we_extractor_gd_bal_acc_all1718 series_09 part4,0.739,0.815,0.777,0.756,0.739,17,6,5,22
we_extractor_gd_bal_acc_all1718 series_09 part5,0.682,0.889,0.785,0.75,0.682,15,7,3,24
we_extractor_gd_bal_acc_all1718 series_09 MEAN,0.721,0.819,0.77,0.739,0.721,16.0,6.2,5.0,22.6
we_extractor_gd_bal_acc_all1718 series_10 part1,0.727,0.786,0.756,0.727,0.727,16,6,6,22
we_extractor_gd_bal_acc_all1718 series_10 part2,0.773,0.821,0.797,0.773,0.773,17,5,5,23
we_extractor_gd_bal_acc_all1718 series_10 part3,0.682,0.893,0.787,0.75,0.682,15,7,3,25
we_extractor_gd_bal_acc_all1718 series_10 part4,0.478,0.815,0.647,0.564,0.478,11,12,5,22
we_extractor_gd_bal_acc_all1718 series_10 part5,0.773,0.704,0.738,0.723,0.773,17,5,8,19
we_extractor_gd_bal_acc_all1718 series_10 MEAN,0.687,0.804,0.745,0.708,0.687,15.2,7.0,5.4,22.2
we_extractor_gd_bal_acc_all1718 series_11 part1,0.682,0.607,0.644,0.625,0.682,15,7,11,17
we_extractor_gd_bal_acc_all1718 series_11 part2,0.773,0.714,0.744,0.723,0.773,17,5,8,20
we_extractor_gd_bal_acc_all1718 series_11 part3,0.864,0.857,0.86,0.844,0.864,19,3,4,24
we_extractor_gd_bal_acc_all1718 series_11 part4,0.652,0.778,0.715,0.682,0.652,15,8,6,21
we_extractor_gd_bal_acc_all1718 series_11 part5,0.591,0.778,0.684,0.634,0.591,13,9,6,21
we_extractor_gd_bal_acc_all1718 series_11 MEAN,0.712,0.747,0.73,0.702,0.712,15.8,6.4,7.0,20.6
we_extractor_gd_bal_acc_all1718 series_12 part1,0.739,0.778,0.758,0.739,0.739,17,6,6,21
